2018-06-05 18:20:07 status half-installed fontconfig-config:all 2.11.0-6.7
2018-06-05 18:20:07 status unpacked fontconfig-config:all 2.11.0-6.7
2018-06-05 18:20:07 status unpacked fontconfig-config:all 2.11.0-6.7
2018-06-05 18:20:07 install libexpat1:amd64 <none> 2.2.0-2+deb9u1
2018-06-05 18:20:07 status half-installed libexpat1:amd64 2.2.0-2+deb9u1
2018-06-05 18:20:07 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-06-05 18:20:07 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-06-05 18:20:07 install libpng16-16:amd64 <none> 1.6.28-1
2018-06-05 18:20:07 status half-installed libpng16-16:amd64 1.6.28-1
2018-06-05 18:20:07 status unpacked libpng16-16:amd64 1.6.28-1
2018-06-05 18:20:07 status unpacked libpng16-16:amd64 1.6.28-1
2018-06-05 18:20:07 install libfreetype6:amd64 <none> 2.6.3-3.2
2018-06-05 18:20:07 status half-installed libfreetype6:amd64 2.6.3-3.2
